,Rank,Name,Market Cap,Price,Today,Price (30 days),Country
,1,NVIDIANVDA,$4.450 T,$182.78,2.24%,,🇺🇸 USA
,2,AppleAAPL,$3.759 T,$255.78,2.27%,,🇺🇸 USA
,3,Alphabet (Google)GOOG,$3.701 T,$306.02,1.08%,,🇺🇸 USA
,4,MicrosoftMSFT,$2.982 T,$401.32,0.13%,,🇺🇸 USA
,5,AmazonAMZN,$2.133 T,$198.79,0.41%,,🇺🇸 USA
,6,TSMCTSM,$1.900 T,$366.36,0.47%,,🇹🇼 Taiwan
,7,Saudi Aramco2222.SR,$1.652 T,$6.83,0.62%,,🇸🇦 S. Arabia
,8,Meta Platforms (Facebook)META,$1.618 T,$639.77,1.55%,,🇺🇸 USA
,9,TeslaTSLA,$1.566 T,$417.44,0.09%,,🇺🇸 USA
,10,BroadcomAVGO,$1.541 T,$325.17,1.81%,,🇺🇸 USA
,11,Berkshire Hathaway BRK-B,$1.073 T,$497.55,0.49%,,🇺🇸 USA
,12,WalmartWMT,$1.067 T,$133.89,0.19%,,🇺🇸 USA
,13,Eli LillyLLY,$932.31 B,"$1,040",0.33%,,🇺🇸 USA
,14,Samsung005930.KS,$841.51 B,$125.86,1.46%,,🇰🇷 S. Korea
,15,JPMorgan ChaseJPM,$823.62 B,$302.55,0.03%,,🇺🇸 USA
,16,Exxon MobilXOM,$626.03 B,$148.45,0.99%,,🇺🇸 USA
,17,TencentTCEHY,$616.14 B,$68.30,1.38%,,🇨🇳 China
,18,VisaV,$605.55 B,$314.08,3.12%,,🇺🇸 USA
,19,Johnson & JohnsonJNJ,$586.68 B,$243.45,0.45%,,🇺🇸 USA
,20,ASMLASML,$545.97 B,"$1,407",0.02%,,🇳🇱 Netherlands
,21,Micron TechnologyMU,$463.32 B,$411.66,0.56%,,🇺🇸 USA
,22,MastercardMA,$462.60 B,$518.36,1.73%,,🇺🇸 USA
,23,OracleORCL,$460.25 B,$160.14,2.34%,,🇺🇸 USA
