companies,market_cap,Price,Percentage_Increase,Countries
NVIDIANVDA,4450000000000.00,182.78,2.24%,USA 
AppleAAPL,3759000000000.00,255.78,2.27%,USA 
Alphabet (Google)GOOG,3701000000000.00,306.02,1.08%,USA 
MicrosoftMSFT,2982000000000.00,401.32,0.13%,USA 
AmazonAMZN,2133000000000.00,198.79,0.41%,USA 
TSMCTSM,1900000000000.00,366.36,0.47%,Taiwan 
Saudi Aramco2222.SR,1652000000000.00,6.83,0.62%,S. Arabia
Meta Platforms (Facebook)META,1618000000000.00,639.77,1.55%,USA 
TeslaTSLA,1566000000000.00,417.44,0.09%,USA 
BroadcomAVGO,1541000000000.00,325.17,1.81%,USA 
Berkshire Hathaway BRK-B,1073000000000.00,497.55,0.49%,USA 
WalmartWMT,1067000000000.00,133.89,0.19%,USA 
Eli LillyLLY,932310000000.00,1040.00,0.33%,USA 
Samsung005930.KS,841510000000.00,125.86,1.46%,S. Korea
JPMorgan ChaseJPM,823620000000.00,302.55,0.03%,USA 
Exxon MobilXOM,626030000000.00,148.45,0.99%,USA 
TencentTCEHY,616140000000.00,68.30,1.38%,China 
VisaV,605550000000.00,314.08,3.12%,USA 
Johnson & JohnsonJNJ,586680000000.00,243.45,0.45%,USA 
ASMLASML,545970000000.00,1407.00,0.02%,Netherlands 
Micron TechnologyMU,463320000000.00,411.66,0.56%,USA 
MastercardMA,462600000000.00,518.36,1.73%,USA 
OracleORCL,460250000000.00,160.14,2.34%,USA 
CostcoCOST,452160000000.00,1018.00,1.96%,USA 
SK Hynix000660.KS,422030000000.00,611.25,0.90%,S. Korea
AbbVieABBV,409140000000.00,231.50,1.76%,USA 
Home DepotHD,389290000000.00,391.05,0.21%,USA 
Bank of America BAC,383740000000.00,52.55,0.06%,USA 
Procter & GamblePG,374040000000.00,160.07,0.71%,USA 
RocheROG.SW,372260000000.00,467.90,0.11%,Switzerland 
AlibabaBABA,371770000000.00,155.73,1.89%,China 
ChevronCVX,367360000000.00,183.74,0.73%,USA 
ICBC1398.HK,365880000000.00,0.82,0.16%,China 
CaterpillarCAT,362690000000.00,774.20,2.10%,USA 
Coca-ColaKO,338450000000.00,78.68,0.41%,USA 
AMDAMD,338010000000.00,207.32,0.67%,USA 
General ElectricGE,332690000000.00,315.41,0.81%,USA 
Agricultural Bank of China601288.SS,330040000000.00,0.94,1.51%,China 
China Construction Bank601939.SS,329690000000.00,1.26,1.25%,China 
NetflixNFLX,326070000000.00,76.87,1.33%,USA 
ToyotaTM,325130000000.00,248.29,2.75%,Japan 
AstraZenecaAZN,318660000000.00,205.55,0.50%,UK 
NovartisNVS,315280000000.00,163.10,1.19%,Switzerland 
PalantirPLTR,313200000000.00,131.41,1.74%,USA 
LVMHMC.PA,305970000000.00,616.54,1.03%,France 
CiscoCSCO,303640000000.00,76.85,2.47%,USA 
MerckMRK,303250000000.00,121.41,1.82%,USA 
Lam ResearchLRCX,295830000000.00,235.53,1.83%,USA 
HSBCHSBC,292330000000.00,85.15,1.89%,UK 
Philip Morris InternationalPM,291890000000.00,187.51,0.76%,USA 
PetroChina0857.HK,288400000000.00,1.17,1.44%,China 
Applied MaterialsAMAT,281690000000.00,354.91,8.08%,USA 
Goldman SachsGS,274000000000.00,905.14,0.07%,USA 
Wells FargoWFC,273030000000.00,86.98,0.80%,USA 
Morgan StanleyMS,272010000000.00,171.15,1.84%,USA 
